,arrest,black,perceivedage,gender,trafficstop,raceperceivedpriortostop,tract_distancefromcal,tract_medianincome,tract_annualstops,tract_nonwhitecomp
293,0,1,23,1,1,1,1.009877144,71352,436,0.377806286
294,0,1,40,1,1,0,1.009877144,71352,436,0.377806286
295,1,0,30,2,0,1,1.009877144,71352,436,0.377806286
296,1,1,40,1,0,1,1.009877144,71352,436,0.377806286
297,0,0,35,1,1,0,1.009877144,71352,436,0.377806286
298,1,0,30,2,0,1,1.009877144,71352,436,0.377806286
299,0,0,50,1,1,0,1.009877144,71352,436,0.377806286
300,0,1,21,1,1,0,1.009877144,71352,436,0.377806286
301,0,1,17,1,0,1,1.009877144,71352,436,0.377806286
302,0,0,35,1,0,1,1.009877144,71352,436,0.377806286
303,0,1,30,2,1,0,1.009877144,71352,436,0.377806286
304,0,0,20,1,1,0,1.009877144,71352,436,0.377806286
305,1,0,1,1,1,1,1.0,1,1,1.0
306,1,0,1,1,1,1,1.0,1,1,1.0
307,0,0,50,1,0,1,1.009877144,71352,436,0.377806286
308,1,1,50,1,0,1,1.009877144,71352,436,0.377806286
310,0,0,30,1,0,0,1.009877144,71352,436,0.377806286
311,0,0,50,2,0,0,1.009877144,71352,436,0.377806286
312,0,0,19,2,1,0,1.009877144,71352,436,0.377806286
313,0,1,45,2,0,0,1.009877144,71352,436,0.377806286
314,0,0,67,1,0,1,1.009877144,71352,436,0.377806286
315,1,1,59,1,0,1,1.009877144,71352,436,0.377806286
316,0,1,25,2,1,1,1.009877144,71352,436,0.377806286
317,0,1,40,2,1,0,1.009877144,71352,436,0.377806286
318,0,0,20,1,1,0,1.009877144,71352,436,0.377806286
319,0,1,20,2,1,0,1.009877144,71352,436,0.377806286
320,0,1,35,2,1,0,1.009877144,71352,436,0.377806286
321,0,0,20,2,1,0,1.009877144,71352,436,0.377806286
322,1,0,1,1,1,1,1.0,1,1,1.0
323,0,1,30,1,1,0,1.009877144,71352,436,0.377806286
324,0,0,20,1,1,0,1.009877144,71352,436,0.377806286
325,0,0,50,1,1,0,1.009877144,71352,436,0.377806286
