,durationofstop,raceperceivedpriortostop,gender,perceivedage,tract_medianincome,tract_totalpop,tract_whitepop,tract_nonwhitecomp,tract_poccomp,tract_nonwhitepop,tract_pocpop,tract_aapop,tract_na_aipop,tract_aisianpop,tract_hawaiian,tract_mixed2,tract_totalnumstops,tract_annualstops,tract_distancefromcal,black,white,asian,hispanic,bipoc,report_risk_groups,arrest,trafficstop,longstop
163,20,1,2,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,0,1
164,6,0,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,0
165,7,0,1,35,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,0
166,5,1,1,55,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,1,0
167,6,1,2,25,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,0,1,0,1,0,0,1,0
168,25,1,1,35,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,1,0,1
169,15,0,2,55,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,0
170,10,0,1,60,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,1,0
171,8,1,2,45,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,0,0
172,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1.0,0,0,0,0,1,1,1,1,0
173,15,1,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,0
174,20,0,2,25,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,1
175,16,0,1,35,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,1
